alim_code;alim_nom_fr;carbo;alim_image_url
20810;Cresson, feuille, cru, prélevé à la Martinique;traces;
6105;Boeuf, faux-filet, rôti/cuit au four;traces;
6131;Boeuf, hampe, grillée/poêlée;traces;
6141;Boeuf, joue, braisée ou bouillie;traces;
6151;Boeuf, jarret, bouilli/cuit à l'eau;traces;
6161;Boeuf, tende de tranche, grillée/poêlée;traces;
6162;Boeuf, tende de tranche, rôtie/cuite au four;traces;
6200;Boeuf, steak ou bifteck, grillé;traces;
6205;Boeuf, onglet, grillé;traces;
6207;Boeuf, rumsteck, grillé;traces;
6208;Boeuf, boule de macreuse, grillée/poêlée;traces;
6211;Boeuf, bavette d'aloyau, grillée/poêlée;traces;
6214;Boeuf, boule de macreuse, rôtie/cuite au four;traces;
6230;Boeuf, à bourguignon ou pot-au-feu, cuit;traces;
6241;Boeuf, collier, braisé;traces;
6310;Boeuf, queue, bouillie/cuite à l'eau;traces;
6512;Veau, carré, sauté/poêlé;traces;
6520;Veau, escalope, cuite;traces;
6523;Veau, noix, grillée/poêlée;traces;
6524;Veau, noix, rôtie;traces;
6562;Veau, épaule, grillée/poêlée;traces;
6563;Veau, épaule, braisée ou bouillie;traces;
6581;Veau, jarret, braisé ou bouilli;traces;
6582;Veau, tête, bouillie/cuite à l'eau;traces;
6591;Veau, collier, braisé ou bouilli;traces;
28009;Porc, palette, crue;traces;
28103;Porc, rouelle de jambon, cuite;traces;
28203;Porc, filet mignon, cuit;traces;
28461;Porc, escalope de jambon, cuite;traces;
21501;Agneau, côtelette, grillée;traces;
21508;Agneau, collier, braisé ou bouilli;traces;
21509;Agneau, côte filet, grillée/poêlée;traces;
21518;Agneau, gigot, grillé/poêlé;traces;
21519;Agneau, gigot, braisé;traces;
21520;Agneau, selle, partie maigre, grillée/poêlée;traces;
6906;Cheval, tende de tranche, grillée/poêlée;traces;
6907;Cheval, faux-filet, grillé/poêlé;traces;
6908;Cheval, entrecôte, grillée/poêlée;traces;
6909;Cheval, faux-filet, rôti/cuit au four;traces;
6910;Cheval, tende de tranche, rôtie/cuite au four;traces;
36205;Canard, magret, grillé/poêlé;traces;
6001;Boeuf, côte, crue;traces;
6536;Veau, steak haché 15% MG, cru;traces;
6580;Veau, pied, cru;traces;
6590;Veau, collier, cru;traces;
36020;Poulet éviscéré sans abats, cru;traces;
21001;Mouton, viande, crue;traces;
21004;Mouton, pied, cru;traces;
21005;Mouton, tête, crue;traces;
21006;Mouton, gigot, cru;traces;
21514;Agneau, collier, cru;traces;
6903;Cheval, tende de tranche, crue;traces;
6904;Cheval, faux-filet, cru;traces;
6905;Cheval, entrecôte, crue;traces;
36203;Canard, cuisse avec peau, sans os, crue;traces;
8010;Rillettes de Tours;traces;
8025;Rillettes pur oie;traces;
8109;Confit de canard, viande (cuisse), sans peau, réchauffé;traces;
8501;Andouille de Guéméné;traces;
8512;Andouille de Vire;traces;
26003;Carrelet ou plie, cuit à la vapeur;traces;
26008;Églefin, cuit à la vapeur;traces;
26012;Hareng, frit;traces;
26014;Hareng, grillé/poêlé;traces;
26015;Lieu noir, cuit;traces;
26017;Limande-sole, cuite à la vapeur;traces;
26019;Maquereau, rôti/cuit au four;traces;
26020;Maquereau, frit;traces;
26021;Merlan, frit;traces;
26022;Merlan, cuit à la vapeur;traces;
26023;Cabillaud, rôti/cuit au four;traces;
26024;Morue, salée, bouillie/cuite à l'eau;traces;
26025;Cabillaud, cuit à la vapeur;traces;
26026;Mulet, rôti/cuit au four;traces;
26031;Raie, rôtie/cuite au four;traces;
26033;Roussette ou petite roussette ou saumonette, cuite;traces;
26038;Saumon, cuit à la vapeur;traces;
26041;Thon, rôti/cuit au four;traces;
26059;Sole, cuite à la vapeur;traces;
